caption,title
,Gray Bridesmaid Dresses
,Glitter Table Numbers
"Jenna says she was ""never a girl who knew exactly what she wanted her wedding day to look like,"" which came with its disadvantages (no real direction, just a bunch of random Pinterest boards and magazine tear-outs). When Taylor's mother, an interior designer, sent Jenna a photo of dramatic centerpieces of palms and banana leaves created by event designer David Stark--that became the inspiration behind the wedding day environment. It ""frayed the edges of traditional, yet still had class and formality,"" Jenna says.",Giant Palms as Centerpieces
"Adding a touch of pink to his black tuxedo, the groom wore a single dendrobium orchid.",The Boutonniere
"Sarah and Jason found the art-deco-inspired black and gold bridesmaid dresses at Saks Fifth Avenue during a family visit to Atlanta, Georgia. Sarah loved the floor-length Aidan Mattox gowns with layers of black tulle for the A-line skirt and faux gold leather detailing on the bodice.","Aidan Mattox Geometric Black, Gold Bridesmaid Dresses"
"For the cocktail tables, roses, baby's breath, and stock were gathered together into classic silver julep cups.",Purple Reception Centerpieces
"Darla, the couple's French bulldog, was popular at the wedding--Brian even walked down the aisle with her!",The Special Guest
,Flower Girl Peony Headband
Megan added a bit of glitz to her look with these Antonio Melani crystal embellished heels.,Crystal Embellished Sandals
"Danielle chose to combine classic bridal blooms like peonies, roses and ranunculas in her bouquet.",White Peony Bridal Bouquet
"On some of the tables were these modern copper plates topped with branches, moss, orange orchids and fresh green ti leaves.",Modern Orchid Centerpieces
"Joey's colorful tie and boutonniere, made of spray roses and succulents, popped against his taupe suit and perfectly matched the orange-and-green color scheme.",The Boutonniere
,Loose White Wildflower Bridal Bouquet
"""We had our ceremony and reception at the Rookery in Chicago, Illinois,"" Lauren says. ""I wanted something different but didn't really know what. When I saw photos of a previous wedding at the Rookery I knew it was our wedding venue. It was indoors with high glass ceilings, a huge staircase and amazing gold details throughout the space.""",Oversize Spiral Staircase at the Rookery
"Pops of color could be found in the furniture and the flowers, which complemented (but didn't compete with) the outdoor venue.",Outdoor Reception Decor
This California-based couple showed their love for the state that brought them together with  sugar cookies shaped like the Golden State.,California-Shaped Sugar Cookies With Heart
"One of Tori's favorite things in her wedding was the upside-down flower arrangement that hung above the feasting table. ""I have to give most of the credit to my amazing florist, Kiwi Fleur, who took all our visions and made them a reality,"" the bride says.",Ceiling Hanging Wildflowers in Orange and Yellow
Servers wore pink houndstooth bow ties as they passed matching champagne sips.,Pink Champagne
"The bridesmaids carried white garden roses accented with smaller blush roses. Lynn really wanted each lady to carry a small, simple bouquet that they wouldn't hate holding for the entire ceremony, and her florist totally got it.",White and Blush Round Bridesmaid Wedding Bouquets
The cards were hung from vertical strings of crystals.,Hanging Escort Card Display
Bright yellow blooms in antique silver vases served as the centerpieces for the couple's reception. Lemons accented the tables adding a fun and rustic touch.,Vintage Yellow and White Centerpieces
"Topped with pink peonies and covered in fondant lace, the cake was utterly romantic.",Lacy Wedding Cake
Marie-Eve and Michael had an artist create a custom poster featuring their silhouettes and wedding date for guests to sign.,Poster Guest Book
"The bride wanted a robust bouquet and chose full blooms such as dahlias, camellias, gardenias, lilies, and ranunculus in shades of yellow and orange.",The Bridal Bouquet
,Outdoor Winter Wedding Ceremony
"The menu was a huge success both in terms of taste and style. After their original caterer backed out at the last minute, Pies 'n' Thighs swept in to save the day and totally knocked it out of the park. From mini fried chicken and biscuit sliders to catfish and watermelon salad, the delicious comfort food menu fit perfectly with the wedding's laid-back, Americana vibe. ""The cocktail hour food was the best!"" says Jen. ""Pies 'n' Thighs was an amazing choice and all the guests loved it.""",Pies 'n' Thighs Catering
,Jenny Packham Cap Sleeve Bridal Gown
"Since Stephanie's parents wanted them to have a Catholic church wedding, the couple searched for a church that fit their style. They found Father Sean and Our Lady of the Mount chapel in Stephanie's hometown, Warren, New Jersey. Instead of covering the setting in greenery and decor, they simply added two arrangements of white hydrangeas and delphiniums along the altar. This way, its ornate backdrop and architecture served as the focal point. (Although her chic veil definitely caught our attention.)",Our Lady of the Mount Ceremony Altar
"""Eric really wanted the perfect cake, and we got it,"" Michael says of the chocolate fudge and orange almond cake with layers of salted caramel and passion fruit mixed with buttercream.",Glamorous Round Gold Wedding Cake
A crystal cuff bracelet and feather fascinator echoed the sparkly beading on Stephanie's dress.,Crystal Bridal Bracelet
Simple white chairs and linens blended in with the neutral walls of the historic Sweetwater Branch Inn. The flower arrangements carried the garden theme over to the reception.,The Reception
,Katie and Teddy Recessional
,Caramel Popcorn Mason Jar Favors
"Elizabeth made this wooden sign that stood at the entrance to the reception. It included their initials, the wedding date and a heart made of wine corks.",Wood and Wine Cork Wedding Sign
,The First Dance
"Whimsical flowers in red and pink hues, milky pastel votives and a collection of brass candleholders with black taper candles popped against the blue geometric table runner. Each place setting had a round wicker charger with gold flatware and a custom blue cobalt menu.",Wild Deep Red Flower Centerpiece
Karen and Eric created the programs themselves in the shape of a fan so their guests could keep cool during the hot summer day ceremony.,Ceremony Programs
"Katy and Kelsey decided to marry at a rustic barn in Hidden Springs, Idaho, which was exactly the setting they'd envisioned for their big day. As an added personal touch, Katy's father, a pastor, performed the ceremony.",The Ceremony Location
The groom's father sliced the pieces of tree trunk that were used to display cakes in tasty flavors like lemon curd and chocolate with salted caramel.,Individual Wedding Cakes
Amy and Zeno placed their guest book on a table at the entrance to their reception and decked it out with childhood photos and a potted orchid.,Photo Guest Book Display
"Kelly and Cam got married in the Utah State Capitol rotunda, surrounded by elegant marble columns, a classic mural and luxe gold details. ""We chose this space because it's beautifully grand and there is a magical feel there,"" Kelly says. Both she and Cam volunteer with a nonprofit that has an annual event in the rotunda, so they knew it would be a special place for their ceremony.",Utah State Capitol Wedding Ceremony
Liana and Michael exchanged vows amid birch trees with trunks covered in apples.,The Inn at Richmond Wedding Ceremony
"The pair skipped many of the typical wedding day formalities, from the first dance to a cake-cutting ritual. Instead, they offered guests a variety of doughnuts to enjoy.",Wedding Doughnuts
The girls wore dresses in different shades of purple.,Bridesmaids' Looks
"""I wanted my bridesmaids to feel beautiful and shimmery,"" says Vanessa. She found a shimmery metallic gold fabric for her bridesmaids' dresses and had them fashioned by a seamstress to bring her vision together.",Gold Shimmering Bridesmaids Dresses with Floral Wreaths
"One of Layne's absolute favorite aspects of the wedding was the enchanted floral design. ""Susan's Floral did an incredible job with the flowers,"" says Layne. ""We discussed my vision for whimsical, softly colorful and multi-textured flowers extensively, and I loved the result!""",Whimsical Coral Peony and Orchid Bouquet
Heart-shaped program fans decorated with a black damask pattern were set on each ceremony chair for guests to enjoy during the service.,Damask Program Fan
Black-centered anemones tied with black-striped grosgrain ribbon made up the bridesmaid bouquets.,White Anemone Bouquet
"Rebecca and Judson held their ceremony and reception in the front yard of their home in Okanagan, British Columbia. ""With the green trees and pops of color from the garden beds, we took our yard's floral backdrop and carried it through the rest of our wedding plans,"" says Rebecca, who handcrafted her veil.",Bohemian Wedding in British Columbia
"For the cake cutting, the couple's baker made them a small white buttercream cake decorated with silver dragees and a fresh peony.",Pink Peony Cake
Stephanie and Justin set out paper mustaches for guests to wear in the photo booth.,Photo Booth Props
"During the henna ceremony, the bride shared favors with the other ladies in her bridal party.  She gave them anklets and bracelets in little pearl boxes from India. Every guest got a special treat directly from India: The bride's aunt made bags to fill with treats as favors.",Bridal Henna
,Cap Gun Favors
,Wedding and Reception Jimmy Choos
"The museum's reception space was a blank canvas that the couple  customized to feature their bold, geometric thematic elements. Their designers custom-built large, wooden geometric pendant lights to hang above the guests.",Geometric Pendant Lights
"Hexagonal tiers gave the cake an Art Deco look, while platinum details and ""disco-dusting"" added glam.",Hexagonal Wedding Cake
"In light blue dresses, the bridesmaid carried peony and rose bouquets complete with shells.",The Bridesmaid Bouquets
,Gold Scripted Wedding Invitations
"Cocktail hour was held in the farm's rustic wooden barn, where It Takes Two filled the air with soft jazz and guests sipped on signature drinks, such as the caipirinha--a nod to the trip to Brazil, where Leslie proposed. ""We didn't want to leave early and miss all the fun, so instead of a grand exit at the end of the night, we led a grand procession with sparklers from the barn after cocktails to the tent for dinner and dancing,"" Sarah says.",Eucalyptus Garland-Trimmed Barn Entrance
"The couple wanted the invitations to reflect their wedding style, but they didn't want to completely give the theme away. They chose a lily of the valley design printed on ivory paper in chocolate ink.",The Invitations
"The couple designed their invitations with Bird and Banner, who incorporated the yarn-and-button motif into all of their wedding stationery.",Custom Wedding Invitations
"After doing her research to find the perfect dress, Silje decided to take the custom route. ""Norway's most talented wedding dress designer, Leila Hafzi, offered to custom-make the wedding dress of my dreams--and hats off to her--she definitely made my vision come to life,"" Silje says. Silk fabric made the gown light as a feather, while an off-the-shoulder silhouette and handcrafted lace appliques gave Silje's look a one-of-a-kind flair.",Custom Leila Hafzi A-Line Wedding Gown
"Nikole and Rocco's vintage styled table numbers were all named after famous couples. Some included historic literary figures such as Romeo and Juliet while others had a more modern twist, such as Jay Z and Beyonce. All were custom made by an Etsy designer and placed atop little brass stands, says Nikole.",Custom Historic Couple Themed Table Numbers
Larissa and Trevor ditched the idea of a traditional guest book and instead had their guests write their well wishes and newlywed advice on small wooden hearts that would later be displayed on a laser cut wooden Tree of Life.,Wooden Tree of Life Guest Book
,Romantic White and Pink Reception
Individual guacamole appetizers were passed around to guests during cocktail hour.,Avocado Appetizers
"Embracing the Loyola mascot, the greyhound, the newlyweds served the Greyhound as a signature cocktail and had greyhound cookie jars at the bars, filled with homemade cookies from the bride, who is a professional baker.",White Mirrored Bar
Nicole actually made her own wedding cake with the help of her bridesmaid. The five-tiered confection was topped with vanilla Swiss buttercream and shredded coconut.,Classic White Wedding Cake
,White Rose Boutonniere
Silk floral dresses from Anthropologie had just the right garden-inspired look Lindsey wanted for her bridesmaids.,Silk Floral Dresses
"The simple white cake was set on a handmade wooden stand and surrounded by flowers and moss for a stunning, rustic display.",Rustic Cake Display
A lush green garland served as a natural table runner for the head table.,Lush Garland Decor
"For the favors, Elisha and David wanted to give out something living, that their friends could take home, plant in their gardens, and watch grow. Elisha found the succulents on Etsy, which you could buy in little silver buckets.  Elisha had stickers made to personalize the buckets with the couple's names, date, and ""Happily Ever After"".",Potted Succulent Plant Favors
"Gift baskets complete with miniature champagne bottles and matching straws, snacks and an activity schedule, welcomed the out-of-town guests.",Champagne Welcome Basket
"""When I laid eyes on Dover Hall, I knew right away,"" Kendall says. ""It has a castle, fairy-tale feel to it that fit perfectly with the idea I had in my head for my wedding day.""",Dover Hall Wedding
,Milky Glass Bottle Amaranthus Centerpiece
"Together with her stepmother, Jenna made homemade jams as a thank-you for the couple's friends and family members who attended the wedding. The pair made a selection of strawberry-rhubarb, blueberry and blackberry jams, which they placed in customized jars finished with raffia ribbon. ""The jams were delicious, and guests loved them,"" Jenna says.",Jars of Homemade Jam
,First Look at Olde Dobbin Station
"The bridesmaid bouquets echoed Molly's bouquet. They carried peonies, garden roses, ranunculus, succulents, astilbes and lots of greenery. The combination of pink, orange and green set the tone for the funky, colorful wedding.","Orange, Pink and Green Bridesmaid Bouquets"
Even the drinks got a splash of orange!,Orange Signature Drinks
"The bride's vintage-rustic aesthetic came across during the reception with wedged, wooden table names, long, farm tables and the bride's custom monogram.",Tented Reception Area
The couple exchanged vows outdoors under a white and purple flower-decorated arbor.,Floral Arbor
,The Ceremony Decor
"Blue-and-white-striped invitations with an anchor logo set the tone for Megan and Brian's classic seaside wedding at Osprey Point Inn in Rock Hall, Maryland.",Nautical Wedding Invitations with Anchor Illustration
,Mason Jar Centerpieces
Andrea carried a bouquet of pink and purple tulips with deep blue grape seeds.,Purple Bridal Bouquet
"Katie made the menus herself, which were trimmed in chocolate brown, tied with a eucalyptus-colored ribbon, and folded into each guest's napkin.",The Place Settings
Kim's luxurious purple bouquet featured roses and large dahlia blooms.,Purple Bridal Bouquet
,Modern Wedding Programs
"The bridesmaids carried round bouquets of 
open white peonies.",White Peony Bouquets
"Chelsea's wedding dress 
and bouquet inspired 
the design of the cake, 
right down to the lace-
like appliques and the 
lilies of the valley on top.",Lace-applique and Lily Cake
Kelly's rings included a round-cut diamond and a yellow-gold wedding band.,Wedding Rings
"Cress Floral Decorators of Little Neck, New York, created lush, ivory arrangements using a fresh mix of anemones, dusty miller, hypericum berries and roses.",Anemone and Rose Bouquet With Hypericum Berries
"As a nod to the Mad Hatter's tea party, the tables were dressed with vintage-inspired glassware and mismatched floral china, giving the tablescapes an elegant, feminine vibe. Dark navy napkins popped against the pastel dinnerware, with theme-inspired menu cards tucked into each one.",Mismatched Vintage Floral China
"Even their wedding signs have personal flair! ""I have a small business creating custom signs and decor for events, so I hand-lettered all our signage,"" Emily says. ""We went to thrift and vintage shops to select frames, which we spray-painted gold.""",DIY Chalkboard Ceremony Sign in Vintage Frame
Adrienne and Cameron combined the contemporary setting of the reception with quaint floral arrangements and vintage lighting.,Chic Reception Venue
,Wedding Photo Session on a Farm
"""The girls at White Dresses in Huntsville, Alabama, made me feel like a fairytale princess on my wedding day,"" Ashley says. She stepped up to Ryan for their first look in a stunning ivory wedding dress by Peter Langner. While the bodice of her trumpet-style dress was fitted, the pleated, voluminous skirt added texture and a touch of glam to her wedding day look. She even wore an a.b. Ellie beaded sash that perfectly matched her Enchanted Atelier by Liv Hart headband.","Gorgeous, Pleated, Trumpet-Style Wedding Dress"
Colorful paper lanterns created a festive barrier between the reception and ceremony spaces.,Entrance to Reception Space
"In keeping with the natural vibe at the Springs Preserve in Las Vegas, Nevada, after the ceremony guests found their names on lists posted to a large wooden board. ""I made a large wooden board and stained it a darker color to match the wooden sign with our names on it,"" Jenna says. ""It had at the top 'Find your seat' written in calligraphy as well.""",DIY Seating Chart at Garden Reception
,Pnina Tornai Bridal Gown
"Since the venue was by the ocean, the couple gave their space a cabana feel with rattan furniture and pillows in the day's palette.",Cabana Reception Decor
Susi adorned the bridal party's dinner chairs with the hanging aisle arrangements from the ceremony.,Wedding Reception Chair Decor
"Adding to the day's Polynesian flair, tropical green garlands were hung from the chandeliers in the barn of the indoor-outdoor reception at Quiet Meadow Farm in Mapleton, Utah.","Rustic Reception, Garlands on Chandeliers"
"Maggie's dress was custom-made by a team of female artisans in Colombia, who hand-painted the blue flowers on her skirt. They also made a matching floral bow tie for Joe's custom blue suit.",Bride's Wedding Dress With Blue Floral Design
"Allison and Trevor exchanged vows in front of the cotton dock's rustic doors at Boone Hall Plantation in Mount Pleasant, South Carolina. Rather than decorating the outdoor space, they let nature speak for itself. ""There is a big palmetto tree, ferns and a live oak with Spanish moss above where we stood, so there was no need for improvement,"" she says.",Outdoor Low Country Ceremony
"""Our ceremony was simply magical,"" Erica says. ""A dear friend of ours, Yousef, performed the ceremony and made it very special."" Other close friends and family members brought a personalized feel to the proceedings by performing the readings, as well as a rendition of Phish's ""If I Could."" Erica and Janson wrote their own vows, sharing their sentiments in their own words, with Erica's favorite line being, ""As I give you my hand to hold, so I give you my life to keep.""",Whiteface Lodge Kanu Ceremony
,Coral Bridal Bouquet
Tall centerpieces filled with mixed flowers and hanging votives topped the long banquet tables.,Hanging Votive Centerpieces
"Lara describes her bridesmaid looks as, very Audrey Hepburn. The knee-length pewter dresses by Vera Wang had elegant extras like ruffled hems and ribbons at the waist.",The Bridesmaid Looks
Molly chose to wear her mother's bridal gown on her wedding day and then changed into another dress for the reception that was made by a friend.,Delicate Lace A-Line Gown
"Lauren's ""something blue"" was her crystal-encrusted shoes. ""With everything being so classic, I could be a little wild underneath,"" she says. ""And they matched the bridesmaid dresses and navy decor.""",Navy Glitter Bridal Shoes
Kraft boxes held tiny live cacti and succulents in plastic bottles.,Succulent Favors
"To give guests a run down on the evening's events, True Emerald Design created a playful arrow sign post with whimsical gold script and the times of each event.",Whimsical Arrow Directional Signs
A three-tiered white cake with various snowflake designs featured layers of rich chocolate and carrot cake.,The Cake
,Rosemary-Accented Menu Cards
"A lone, white umbrella marked the area on the beach where the couple would exchange vows.",Beachside Ceremony
"The couple exchanged vows in the now empty Sculpture Garden, so they used vintage furniture and old doors to fill up the space and give it dimension.",Vintage Furniture Decor
"As a little girl, Bianca had always imagined herself in a ball gown. As an adult, she never thought she'd actually wear one for her day, but when she tried on her elegant dress, she knew it was perfect.",The Gown
Rock Paper Scissors created this muted pastel invitation suite complete with a subtle jacquard print detail.,Pastel Jacquard Invitation Suite
"Tall, white candles lined the length of each dining table for an elegant look. The table numbers were written in gold ink on ethereal chunks of agate, imitating the steep peaks of the Alpine landscape.",Dining Tables With Tall White Candle Centerpieces
"Tall, lush centerpieces decorated Jenna and Adam's ornate indoor reception.",Sophisticated Reception Decor
"The bridesmaids wore strapless, flowy purple dresses, while the guys matched the groom in dark-gray suits.",Wedding Party Looks
"Sleek white ottomans and chic pillows gave Mercury Hall's outdoor area a mod, nightclub atmosphere.",Modern Wedding Lounge Space
"Juliette knew she wanted to feel like a woodland goddess on her wedding day, so she chose the Cypress gown from BHLDN embroidered with intricate beaded vines. ""The Cypress dress, with its beautiful embellished back and soft buttermilk color called to me,"" says the bride. ""Its back detail reminded me of the wilderness I call my home and where I would be getting married.""",Utah Bride in Cypress Wedding Dress from BHLDN
Crushed iridescent linens in a deep peacock blue set the canvas for Victoria and Vicente's rich tablescapes.,White and Purple Place Settings
"Crystal vases and lamps, along with white roses, gave the tables a glittery look.",Crystal and Rose Centerpieces
"To match the vibrancy of the wedding's theme and palette, Risa had her bridesmaids don matching teal summer dresses from Anthropologie with their choice of accessories. ""I didn't want anyone to stress out about the cost of being in a wedding and planning showers and bachelorettes, so I gave them their dresses, hair, makeup and necklaces,"" Risa says. ""Since the dresses were sale items, I ran all over the city snatching up every size and also ordered a few through their website to make sure the girls wouldn't have to do this themselves.""",Anthropologie Teal Lace Bridesmaid Dresses
"Three out of the four tiers of the vintage-broach adorned cake were faux! Guests unknowingly enjoyed sheet cakes instead, which saved the couple money.",Broach-Decorated Wedding Cake
"Leafy greens and red raspberries filled wrought iron lanterns that dangled from iron hooks. These decorations lined the outdoor aisle, leading to the gazebo where Jana and Bryce said ""I do.""",Wrought Iron Lantern Aisle Decoration
,Orange and Green Ceremony  Arch
A simple sign directed guests to the ceremony.,Simple Wedding Sign
"To go with their preppy theme, the couple's cake had lots of navy stripes. Fuchsia ranunculus and roses added extra color.",Navy Stripe Cake
"Brooke, who wanted a feminine cake, describes the blush and off-white confection as ""five layers of pure girl."" The cake included two layers of silver pound cake with butter-bourbon icing, one layer of carrot cake with cream cheese frosting, and one layer of fresh-lemon cake with lemon icing.",Feminine Blush Wedding Cake
"Succulents, bright white roses and blush pink and peach blossoms complemented the desert setting.","Elegant Bouquet, Spanish-Inspired Desert Wedding"
,Peacock Hairpin
Suspended tea lights and loads of orchids added warmth and color to the hanging arrangements.,Hanging Orchid Arrangement
"Brent's nephew John Michael wore simple suspenders with his shirt and bow tie, while Allie, a family friend, wore a floor-length lace dress with cowboy boots and a flower crown.",Lace Flower Girl Dress with Cowboy Boots
"For added romance and drama, the couple chose to hang a large floral halo over the dance floor.",Floral Reception Decor
Tess and Brian's intimate reception of 41 guests was held in a large tent near the ceremony site. The decor reflected the bride's passion for bright color. Big paper lanterns and vibrant flowers made the atmosphere fun and casual.,The Reception Decor
"Tahni and Joseph's fathers and Joseph's brother all wore silk pink boutonnieres with Tallow berries, seeded eucalyptus, and white silk feathers.",Silk Pink Boutonnieres
,Aqua and White Chevron Wedding Cake
"A variety of lanterns resting on a path of rose petals lined the sides of the aisles at the ceremony. ""These elements helped set the tone for a romantic, garden-inspired modern wedding,"" Evelyn says.",Romantic Lantern-Lit Rose-Petal Aisle
"Guests dropped their greeting cards in an antique birdcage on the gift table. Little touches like this helped weave in the rustic, casual theme throughout the day.",The Ceremony Decor
"Groomsmen wore gray pants with matching gray and black striped ties, while the groom wore a silver bowtie.",Groomsmen Looks
"While beautifying before the ceremony, bridesmaids wore matching blue button-ups.",Blue Bridesmaid Button-Ups
Table numbers were written on hang tags and pinned with gold button thumbtacks to a vintage-framed corkboard covered in yellow and white striped fabric.,The Escort Cards
"Considering their July wedding date, Mark opted for a light-weight linen suit from J.Crew with preppy navy socks.",Mixed Navy Patterned Groomsmen Socks
"At the head table, deep-red linens were topped with red plates and jet-black napkins.",Place Settings
"Ana Parzych Custom Cakes in Cheshire, Connecticut, custom-designed the couple's five-tier wedding cake. It was covered in textured white fondant that was brushed with gold pearl dust and gold-fondant pearl borders. The single gold tier represented a wedding band. Sugar peonies, ranunculus and garden roses in shades of soft pink, with gold centers, leaves and stems, cascaded down the side of the cake. ""Ana graciously gave us the cake sketch she initially made after our consultation, and it's framed in our kitchen,"" says the bride.",Blush Sugar Flowers on Luxe Wedding Cake
"Mea carried a gorgeous cascading rose and black calla lily bouquet. The bright red, green and black bouquet added a gorgeous pop of color to their waterfront ceremony venue. ""We left the entire floral design up to our amazing florist, Justin Wham of JW Events,"" Mea says. ""He's brilliant.""","Black Calla Lily, Red Rose Bouquet"
,English and Russian Invitations
Ten pieces of kraft paper (one for each table) were stamped with guests' names and hung from jute rope with tiny clothespins.,Escort Card Display
The couple danced to Me and You by Kenny Chesney.,The First Dance
"Amber is a floral designer, and the company she works for created all the floral designs. The stunning bridesmaid bouquets were filled with purple dahlias and blue thistle; ornamental kale and seeded eucalyptus gave the bouquets an organic, picked-from-the-garden flair that suited the ceremony site perfectly.",Blue and Purple Bridesmaid Bouquets
"Jenna picked out the same one-shoulder champagne-colored dress for all the bridesmaids, making the process of selecting the gowns easier. ""The champagne color of the bridesmaid dresses were perfect for elegance, and the long length was perfect for comfort,"" Jenna says. ""Their dresses complemented the theme of class and elegance.""",One-Shoulder Champagne-Colored Bridesmaid Dresses
"In line with the couple's fairy tale theme, florals evoked the feeling of an enchanted forest and were designed to look as though they were growing up from the floor, dramatically covering the king's table.",Dramatic Pink and Purple Floralscape
"Alison and Nate's outdoor ceremony took place at a break in the woods beside the Grand Lake Lodge, known as Nuptial Knoll. Flowers adorned a pine arch, and from their seats guests had a majestic view of the lake and the surrounding mountains.",The Ceremony
,Hors D'Oeuvres
"The couple used all different sizes and shapes of mercury-glass vases and filled them with flowers in shades of orange, pink, yellow and cream. ""All the variety made it wild and spontaneous, but it still came together beautifully. It was exactly what my husband and I had envisioned,"" the bride says.",Whimsical Bright Wildflowers in Mercury-Glass Vases
"Centerpieces consisted of collected mismatched milk glass vases scattered on a lace runner with coral peonies, peach garden roses, ranunculus, craspedia and sprigs of other flowers.",Mismatched Vintage Milk Glass Vase Centerpieces
,Postcard Escort Cards
"Guests found their seats through the circular wooden slabs that had their names written in white, bringing natural elements from outside straight into the indoor reception at the Barn & Gazebo in Salem, Ohio.",Wooden Slab Seating Assignment
"Before their boathouse cocktail hour and reception, the newlyweds posed for pictures in New York City's scenic Central Park.",Central Park Wedding Reception
"CEREMONY SITE St. Thomas Episcopal Church, White Sulphur Springs, WV RECEPTION SITE WVSOM Roland P. Sharp Alumni Building, Lewisburg, WV PHOTOGRAPHY Laura's Focus Photography, Blacksburg, VA OFFICIANT Rev. Stephen Baldwin, Ronceverte, WV GOWN Oleg Cassini, David's Bridal, Lewisburg, WV HAIR  Tina Owens, Lewisburg, WV MAKEUP  Azulyn Day Spa, Lewisburg, WV VEIL Oleg Cassini, David's Bridal, Lewisburg, WV SHOES Marc Fisher, Macys WEDDING RINGS  Gumer & Co., Louisville, KY EARRINGS Two Chicks and Company, Lexington, KY BRIDESMAID DRESSES Lynn Lugo, Twirl Boutique in Lexington, KY GROOM'S AND GROOMSMEN'S FORMALWEAR Calvin Klein,  Geno's Formal Wear, Lexington, KY INVITATIONS  Wedding paper divas, weddingpaperdivas.com PROGRAMS  Etsy.com  ESCORT/PLACE CARDS  Etsy.com SIGN-IN BOOK OR BOARD Etsy.com FLOWERS Gillespies Flowers, White Sulphur Springs, WV RENTAL EQUIPMENT Gillespies Flowers, White Sulphur Springs, WV CATERING Blackwell's Restaurant, Lewisburg, WV MUSIC Ceremony: Leah Trent, Lewisburg, WV/Reception Rick Scott,Roanoke, VW CAKE Gina Lang, The Greenbrier Valley Baking Company, Lewisburg, WV HONEYMOON The Dominican Republic",Get The Look
"Courtney and Jack, who live in Alabama, chose a destination wedding in Cashiers because they both love the area. Courtney wore her mother's wedding dress from 33 years earlier, which she'd always dreamed of wearing. Jack looked handsome in a gray suit.",Outdoor Mountain Wedding Ceremony
,Sahara Rose Bridesmaid Bouquets
"Keeping with their classic, clean aesthetic, Lauren and Thig opted for a gold wedding band for him and a subtle diamond-studded band for her.","Simple, Elegant Wedding Band and Ring"
,Bright Pink Flower Centerpiece With Greenery
Bethany's two nieces charmed the crowd in their ivory petal dresses and sweet floral crowns.,Flower Girl Attire
,Vintage Note Box
"Jaclyn and Dan exchanged vows during an outdoor ceremony that blended their Jewish and Christian faiths. They wed beneath a wooden structure nicknamed the ""haltar"" (part huppah, part altar) decorated with greenery and pink blooms.",The Ceremony
"Tianyi wore her hair in a curled updo. For the reception, she traded her cathedral veil for a birdcage veil and added a peacock-feather hairpiece.",Peacock Hair Clip
Smaller sets of purple and white flowers on mirrored platforms topped the tables during the cocktail hour.,Mirrored Floral Centerpieces
"The goal for the reserved table cards was to make them as bright, colorful, and quirky as possible. Tahni painted and collaged them together with fun fabric and paper.",Collage Table Cards
Glitzy gold numbers were painted on clear signs to create contemporary table numbers.,Modern Glam Table Numbers
"Ally carried a bouquet of large white peonies, stock flowers, ranunculuses and orange roses.",Orange and White Peony Bouquet
"Decor was deliberately kept simple at the outdoor ceremony on the south shore of Lake Erie--just an arbor made of greenery, twigs and assorted raspberry flowers. The yachts, the lake and the vibrant green lawn and trees added to the naturally scenic background at Cleveland Yacht Club in Cleveland, Ohio.",Outdoor Yacht Club Ceremony
"The ceremony took place in Denver's Clock Tower, which made for an interesting, geometric background.",Clock Tower Ceremony Space
"Dave and Chad kept flower arrangements to the minimum to let the natural beauty of the farmhouse speak for itself. The centerpieces, however, incorporated square wooden boxes filled with a variety of brunia, anemones, and even artichokes!",Modern Farmhouse Flower Arrangements with Green Succulents and Industrial Place Cards
,Bridal Bouquet
The bride looked for comfort when selecting her bold flats from Express that complemented the royal blue color palette.,Royal Blue Wedding Shoes
"Brandi and Steve celebrated with their guests inside the vineyard's Cabernet Barrel Barn. Tables set with chocolate and sage linens were topped with glass vases filled with curly willow and accented by red and green grapes. At each place setting, a note card read, ""Now that we are Mr. & Mrs., we ask that you share your loving well wishes. Adorn words of wisdom to the limbs of this tree, decorate it with your blessings and happily ever after we will be."" Guests hung their notes from the centerpieces, providing the newlyweds with some fun postwedding reading material.",The Reception Decor
,Lush Garland and Blush Floral Chair Decorations
"""We wanted the cakes to be a focal point. Each cake had its own style, but they all tied together,"" Kate says of their eye-catching dessert table, which featured seven different cakes.","White, Blush and Gold Dessert Table With Seven Cakes"
"Perfect for a hot night in the desert, bright ice pops were offered on an ice-like quartz platter by RabLabs.",Colorful Ice-Pop Desserts
Appetizers were announced via small framed chalkboards with written menu items.,Chalkboard Appetizer Sign
Guests were given copies of the novel Stranger in a Strange Land to take home.,Favorite Book Favors
America voted for Rebekah's bridesmaid look and chose the slate colored Watters Falcon Sweetheart floor-length gown with matching ruffled flower girl look.,Slate Bridesmaid Look
"""I asked Shawn, owner of Beehive Events, to create a bouquet that felt both romantic and complemented the Inn,"" Amanda says. ""Shawn featured white peonies and roses with accents of dusty miller, ivy, olive, young fern, Queen Anne's lace and tallow berries. She also tucked in sprigs of parsley and other herbs as a nod to my love of cooking.""",White Rose and Peony Overflowing Bouquet
The simple escort cards were displayed on a glass table with a large blue-and-white floral arrangement.,Escort Card Display
Katie wore white heels with a bow embellishment at the ankle.,Nina Wedding Shoes
"Malissa and Paul's three-tiered carrot wedding cake was covered in cream cheese frosting. It was decorated with brown ribbon, roses, and mums.",Cake
,Blue and White Hydrangea Bridal Bouquet
Another friend designed their vintage-style invitations and Mad Lib RSVP card.,Vintage Tree Invitations
